syllabus,pos_category,frequency
"present, participle, unknown (irregulars)",verb,9
"aorist, imperative, middle (irregulars)",verb,8
"aorist, indicative, middle/passive (ω)",verb,8
"aorist, imperative, unknown (ω)",verb,8
"aorist, infinitive, unknown (ω)",verb,8
"perfect, imperative, active (μι)",verb,7
"present, infinitive, passive (ω)",verb,7
"imperfect, indicative, unknown (deponent)",verb,7
"perfect, indicative, unknown (deponent)",verb,7
"present, subjunctive, middle/passive (μι)",verb,7
"aorist, infinitive, unknown (μι)",verb,6
"perfect, indicative, passive (ω)",verb,6
"aorist, participle, middle (irregulars)",verb,6
"future, infinitive, unknown (μι)",verb,6
"perfect, infinitive, passive (ω)",verb,6
"aorist, imperative, middle/passive (ω)",verb,5
"present, participle, passive (deponent)",verb,5
"future, indicative, active (irregulars)",verb,5
"aorist, subjunctive, unknown (μι)",verb,5
"aorist, optative, passive (μι)",verb,5
"future perfect, indicative, middle (ω)",verb,5
"perfect, infinitive, middle/passive (μι)",verb,5
"present, indicative, passive (deponent)",verb,5
"present, indicative, unknown (ω)",verb,5
"pluperfect, indicative, passive (irregulars)",verb,5
"present, indicative, unknown (deponent)",verb,5
"present, imperative, active (irregulars)",verb,5
"future, indicative, passive (μι)",verb,5
"future, infinitive, middle/passive (deponent)",verb,5
"future, participle, passive (ω)",verb,5
"imperfect, indicative, active (deponent)",verb,4
"future, participle, unknown (deponent)",verb,4
"future, indicative, active (deponent)",verb,4
"present, imperative, unknown (μι)",verb,4
"perfect, infinitive, unknown (deponent)",verb,4
"present, optative, middle/passive (μι)",verb,4
"present, infinitive, unknown (μι)",verb,4
"perfect, indicative, passive (μι)",verb,4
"aorist, infinitive, unknown (irregulars)",verb,3
"present, infinitive, active (deponent)",verb,3
"aorist, subjunctive, middle/passive (μι)",verb,3
"aorist, imperative, passive (deponent)",verb,3
"aorist, imperative, unknown (μι)",verb,3
"aorist, infinitive, middle/passive (ω)",verb,3
"present, optative, active (deponent)",verb,3
"aorist, imperative, unknown (deponent)",verb,3
"aorist, optative, unknown (μι)",verb,3
"future perfect, indicative, middle/passive (deponent)",verb,3
"aorist, optative, unknown (irregulars)",verb,3
"future, indicative, unknown (irregulars)",verb,3
"future, indicative, passive (deponent)",verb,3
"aorist, indicative, passive (irregulars)",verb,3
"future, participle, unknown (μι)",verb,3
"present, subjunctive, active (deponent)",verb,3
"present, participle, unknown (ω)",verb,3
"future, participle, unknown (ω)",verb,3
"future, optative, middle (μι)",verb,3
"present, participle, middle/passive",verb,3
"present, unknown, active (ω)",verb,2
"present, subjunctive, unknown (deponent)",verb,2
"aorist, indicative, d (deponent)",verb,2
"present, infinitive, passive (deponent)",verb,2
"present, participle, middle/passive (irregulars)",verb,2
"unknown, unknown, unknown (irregulars)",verb,2
"present, g, active (ω)",verb,2
"aorist, subjunctive, middle (irregulars)",verb,2
"perfect, imperative, active (deponent)",verb,2
"aorist, subjunctive, unknown (ω)",verb,2
"future perfect, indicative, active (ω)",verb,2
"perfect, imperative, passive (ω)",verb,2
"present, optative, passive (ω)",verb,2
"aorist, imperative, passive",verb,2
"aorist, imperative, passive (μι)",verb,2
"present, g, active (μι)",verb,2
"present, imperative, unknown (deponent)",verb,2
"future perfect, infinitive, middle/passive (ω)",verb,2
"future perfect, indicative, middle/passive (μι)",verb,2
"future, infinitive, active (irregulars)",verb,2
"future perfect, indicative, passive (ω)",verb,2
"future, infinitive, passive (μι)",verb,2
"future, infinitive, unknown (ω)",verb,2
"perfect, optative, middle/passive (ω)",verb,2
"perfect, participle, passive (deponent)",verb,2
"perfect, subjunctive, middle/passive (ω)",verb,2
"pluperfect, indicative, middle (μι)",verb,2
"perfect, participle, middle/passive (irregulars)",verb,2
"perfect, optative, active (μι)",verb,2
"imperfect, infinitive, active (μι)",verb,1
"imperfect, indicative, unknown (ω)",verb,1
"future, indicative, middle",verb,1
"future, participle, passive (μι)",verb,1
"imperfect, indicative, middle/passive (irregulars)",verb,1
"imperfect, indicative, passive (μι)",verb,1
"future, indicative, middle/passive (ω)",verb,1
"imperfect, imperative, active (μι)",verb,1
"imperfect, indicative, d (μι)",verb,1
"imperfect, indicative, middle/passive",verb,1
"future, participle, active (deponent)",verb,1
"future, optative, passive (ω)",verb,1
"future, infinitive, middle/passive (ω)",verb,1
"future, infinitive, unknown (deponent)",verb,1
"aorist, imperative, active",verb,1
NA,noun/adjective,1
"aorist, indicative, d (ω)",verb,1
"present, participle, passive (μι)",verb,1
"aorist, g, active (ω)",verb,1
"aorist, g, passive (deponent)",verb,1
"future perfect, indicative, unknown (ω)",verb,1
"future perfect, infinitive, active (ω)",verb,1
"aorist, indicative, middle/passive (μι)",verb,1
"future, participle, middle (irregulars)",verb,1
"future, infinitive, active (deponent)",verb,1
"future, infinitive, middle (irregulars)",verb,1
"perfect, participle, unknown (ω)",verb,1
"perfect, optative, active (deponent)",verb,1
"aorist, subjunctive, passive (irregulars)",verb,1
l,noun/adjective,1
"perfect, indicative, middle/passive (irregulars)",verb,1
"aorist, unknown, unknown (ω)",verb,1
"perfect, indicative, unknown (ω)",verb,1
"perfect, infinitive, passive (irregulars)",verb,1
"aorist, unknown, unknown (irregulars)",verb,1
"aorist, unknown, active (ω)",verb,1
"pluperfect, participle, middle/passive (deponent)",verb,1
"present, infinitive, active",verb,1
"present, indicative, d (deponent)",verb,1
"present, indicative, d (μι)",verb,1
"present, imperative, active (deponent)",verb,1
"aorist, infinitive, passive",verb,1
"present, infinitive, d (deponent)",verb,1
"present, infinitive, middle/passive (irregulars)",verb,1
"present, indicative, unknown (irregulars)",verb,1
"unknown, participle, middle (deponent)",verb,1
"unknown, participle, unknown",verb,1
"unknown, indicative, middle/passive (ω)",verb,1
"unknown, indicative, middle (ω)",verb,1
"present, optative, unknown (deponent)",verb,1
"present, infinitive, unknown (deponent)",verb,1
"present, optative, d (ω)",verb,1
"unknown, participle, active (ω)",verb,1
"unknown, infinitive, middle/passive",verb,1
"unknown, indicative, unknown",verb,1
"unknown, unknown, unknown (μι)",verb,1
"aorist, indicative, active",verb,1
"present, subjunctive, passive (ω)",verb,1
